area_type,availability,location,bath,balcony,price,total_sqft,bhk
Super built-up  Area,19-Dec,Electronic City Phase II,2.0,1.0,39.07,1056.0,2.0
Plot  Area,Ready To Move,Chikka Tirupathi,5.0,3.0,120.0,2600.0,4.0
Built-up  Area,Ready To Move,Uttarahalli,2.0,3.0,62.0,1440.0,3.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3.0,1.0,95.0,1521.0,3.0
Super built-up  Area,Ready To Move,Kothanur,2.0,1.0,51.0,1200.0,2.0
Super built-up  Area,Ready To Move,Whitefield,2.0,1.0,38.0,1170.0,2.0
Super built-up  Area,18-May,Old Airport Road,4.0,2.0,204.0,2732.0,4.0
Super built-up  Area,Ready To Move,Rajaji Nagar,4.0,2.0,600.0,3300.0,4.0
Super built-up  Area,Ready To Move,Marathahalli,3.0,1.0,63.25,1310.0,3.0
Plot  Area,Ready To Move,Gandhi Bazar,6.0,2.0,370.0,1020.0,6.0
Super built-up  Area,18-Feb,Whitefield,2.0,2.0,70.0,1800.0,3.0
Plot  Area,Ready To Move,Whitefield,5.0,3.0,295.0,2785.0,4.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2.0,1.0,38.0,1000.0,2.0
Built-up  Area,Ready To Move,Gottigere,2.0,2.0,40.0,1100.0,2.0
Plot  Area,Ready To Move,Sarjapur,3.0,2.0,148.0,2250.0,3.0
Super built-up  Area,Ready To Move,Mysore Road,2.0,2.0,73.5,1175.0,2.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3.0,2.0,48.0,1180.0,3.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3.0,3.0,60.0,1540.0,3.0
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,4.0,2.0,290.0,2770.0,3.0
Super built-up  Area,Ready To Move,Manayata Tech Park,2.0,2.0,48.0,1100.0,2.0
Built-up  Area,Ready To Move,Kengeri,1.0,1.0,15.0,600.0,1.0
Super built-up  Area,19-Dec,Binny Pete,3.0,1.0,122.0,1755.0,3.0
Plot  Area,Ready To Move,Thanisandra,5.0,2.0,380.0,2800.0,4.0
Super built-up  Area,Ready To Move,Bellandur,3.0,1.0,103.0,1767.0,3.0
Super built-up  Area,18-Nov, Thanisandra,1.0,0.0,25.25,510.0,1.0
Super built-up  Area,18-May,Mangammanapalya,3.0,2.0,56.0,1250.0,3.0
Super built-up  Area,Ready To Move,Electronic City,1.0,1.0,23.1,660.0,2.0
Built-up  Area,20-Dec,Whitefield,3.0,2.0,81.0,1610.0,3.0
Super built-up  Area,17-Oct,Ramagondanahalli,2.0,2.0,48.77,1151.0,2.0
Super built-up  Area,Ready To Move,Electronic City,2.0,1.0,47.0,1025.0,3.0
Super built-up  Area,19-Dec,Yelahanka,4.0,0.0,186.0,2475.0,4.0
Super built-up  Area,Ready To Move,Bisuvanahalli,2.0,1.0,35.0,1075.0,3.0
Super built-up  Area,Ready To Move,Hebbal,2.0,2.0,123.0,1760.0,3.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3.0,3.0,57.39,1693.0,3.0
Built-up  Area,Ready To Move,Kasturi Nagar,3.0,2.0,125.0,1925.0,3.0
Super built-up  Area,21-Dec,Kanakpura Road,2.0,1.0,36.0,700.0,2.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2.0,1.0,45.5,1070.0,2.0
Super built-up  Area,Ready To Move,Kundalahalli,3.0,2.0,125.0,1724.0,3.0
Super built-up  Area,Ready To Move,Chikkalasandra,2.0,2.0,56.12,1290.0,3.0
Built-up  Area,Ready To Move,Uttarahalli,2.0,2.0,45.0,1143.0,2.0
Built-up  Area,Ready To Move,Murugeshpalya,2.0,2.0,81.0,1296.0,2.0
Super built-up  Area,19-Dec,Sarjapur  Road,3.0,2.0,38.0,1254.0,3.0
Super built-up  Area,Ready To Move,Ganga Nagar,1.0,0.0,38.0,600.0,1.0
Plot  Area,Ready To Move,Yelahanka,1.0,0.0,48.0,660.0,1.0
